Electronic Arts,3010-1,"EA
Electronic Arts Inc.",EA is one of the largest publisher/developers in the video game industry.,2016-06-27 22:31:41,1982-05-28 00:00:00
"Acclaim Entertainment, Inc.",3010-88,Flying Edge,Acclaim Entertainment was a New York-based company who began publishing games on the NES and went out of business in 2004.  The company's collapse was one of the largest implosions of a game publisher in industry history.,2020-03-20 18:02:17,1987-01-01 00:00:00
Interplay Entertainment Corp.,3010-580,"Interplay Productions, Inc.",Interplay is a developing studio famous for creating the Fallout and Freespace franchises.,2020-03-08 08:58:17,1983-01-01 00:00:00
NCS Corporation,3010-797,NCS/extreme,"NCS stands for Nippon Computer Systems, a Japanese entertainment corporation. For three decades, NCS developed and published games under the brand Masaya before selling it to another company.",2020-02-25 08:53:11,1980-12-25 00:00:00
Blizzard Entertainment,3010-1088,Silicon & Synapse,"Blizzard Entertainment Inc. (formerly named Silicon &amp; Synapse) is an American video game developer and publisher currently based in Irvine, CA. As of July 10, 2008 they are a division of Activision Blizzard.",2020-02-01 03:56:55,1991-02-01 00:00:00
Daybreak Games,3010-922,"SOE
Sony Online Entertainment
Daybreak Game Company","Daybreak Games, formerly known as Sony Online Entertainment, is best known for their popular MMOs such as EverQuest, DC Universe Online, and PlanetSide. In 2020, Daybreak Games split into three separate development studios while the publishing side remained known as Daybreak Games.",2020-01-21 15:35:10,1995-07-01 00:00:00
"NIS America, Inc.",3010-618,NISA,The North American division of Nippon Ichi Software.,2020-01-12 19:19:25,2003-12-24 00:00:00
Nintendo EAD,3010-463,Nintendo R&D4,"Nintendo EAD is the largest of Nintendo's internal software divisions, making some of the most recognized franchises of all time, namely the Mario and Zelda series.",2020-01-07 12:50:44,1983-09-30 00:00:00
Xbox Game Studios,3010-340,"Microsoft Game Studios
MGS
Microsoft Corporation
Microsoft Studios",The publishing arm and primary subsidiary of Microsoft's games division. Most notably the publisher of the Halo and Gears of War franchises.,2020-01-04 04:33:36,1975-04-04 00:00:00
Telltale Games,3010-397,Telltale Inc.,"Telltale Games is a digital-first publisher and developer known for their reinvented Sam and Max episodic series, Tales of Monkey Island, Back to the Future, and The Walking Dead. The company has gone through major restructuring since undergoing massive layoffs in September 2018 and subsequent acquisition by LCG Entertainment.",2019-12-17 15:41:43,2004-06-01 00:00:00
"FromSoftware, Inc.",3010-760,From Software,"A Japanese publisher and developer known for the Souls, Armored Core, Tenchu, and King's Field franchises.",2019-11-15 23:19:43,1986-11-01 00:00:00
Sony Interactive Entertainment,3010-995,SCEI,"Sony Interactive Entertainment is a subsidiary of the Sony Corporation responsible for Research &amp; Development, production, and sales of hardware and software for the PlayStation line of handheld and video game consoles.",2019-09-24 17:41:52,1993-11-16 00:00:00
Square Enix,3010-104,"Square Enix Co., Ltd.
Square Enix Ltd.
Square Enix Holdings Co. Ltd.","A Japanese video game company that is best known for the development of role-playing games. It is the result of a merger between two separate video game companies, Square and Enix. Its subsidiaries include Taito and Eidos.",2018-06-14 15:24:51,2003-04-01 00:00:00
Capcom,3010-367,株式会社カプコン,"Capcom is a well-known Japanese game developer and publisher, formerly known as Capsule Computing. They are responsible for such franchises as Mega Man, Resident Evil, Street Fighter, Devil May Cry, Monster Hunter and Onimusha.",2018-05-14 19:55:14,1979-05-30 00:00:00
"Konami Digital Entertainment, Inc.",3010-647,"KDE
Konami of America
delete","Konami Digital Entertainment, Inc., formerly known as Konami of America, is a holding company established by Konami in 1982 to manufacture, distribute, and market products in North America.",2017-07-24 22:03:37,1982-11-01 00:00:00
Codemasters,3010-491,"Code Masters
Codies
The Codemasters Software Company Limited",UK-based development studio behind the popular Colin McRae Rally and Micro Machines franchises.,2017-06-22 08:53:04,1985-01-01 00:00:00
Epic Games,3010-149,Epic Megagames,"Epic Games is a video game development company most famous for developing the Unreal Engine and game series, and more recently, the Gears of War series and Shadow Complex (In conjunction with Chair Entertainment).",2016-10-24 21:10:13,1991-01-01 00:00:00
Sony Interactive Entertainment America,3010-313,"SCEA
SIEA
PlayStation
Sony Computer Entertainment America",Sony Interactive Entertainment America is the North American subsidiary of Sony Interactive Entertainment. SIEA is responsible for publishing and marketing Sony's hardware and software in that region.,2016-05-18 18:59:19,1993-11-16 00:00:00
THQ,3010-15,"Toy Headquarters
THQ Inc.",THQ Inc. (Toy Headquarters) was a global American developer and publisher of video games.,2015-05-31 09:07:18,1989-01-01 00:00:00
Ubisoft Reflections,3010-921,Reflections Interactive Limited,"Ubisoft Reflections, formerly Reflections Interactive, are best known for creating the Driver series and the original Stuntman game.",2015-02-27 21:12:40,1984-01-01 00:00:00
Bandai Namco Entertainment,3010-382,"Namco Hometek
Namco Limited
Namco Bandai Games America Inc.
Namcot
Bandai
Bandai Namco Games Inc.","An arcade and video game producer, part of the Namco Bandai Holdings group.",2014-12-31 17:23:08,2005-09-29 00:00:00
Sonic Team,3010-781,AM8,Sonic Team is the 'pen name' adopted by a developer while working on a Sonic the Hedgehog game. Studios under the name of Sonic Team have been making games for Sega since 1988.,2012-11-07 04:39:46,1988-01-01 00:00:00
